GE561268	FOXD4; FOXD4L1; FOXD4L3; FOXD4L6
GE56202	NCRNA00081; PDCD4
GE562060	KIR2DS2; KIR2DS4; KIR2DS5; KIR3DL2; KIR3DL3
GE562282	OBP2A; OBP2B
GE562378	IFNA10; IFNA17; IFNA4; IFNA6; IFNA7; IFNA8
GE562418	H3F3B; HIST1H3G
GE56244	GCOM1; GRINL1A
GE56285	ATP5L; ATP5L2
GE562948	ERBB3; SLC26A2
GE56307	KCNG1; KCNG2
GE564810	IFNA17; IFNA7
GE565091	AMAC1; AMAC1L2; AMAC1L3
GE565539	PTTG1; PTTG2
GE56566	C16orf93; PHKG2
GE565703	KIR2DL5A; KIR2DL5B; KIR2DS3; KIR2DS5
GE56581	RIMBP3; RIMBP3B; RIMBP3C
GE56625	TP53TG3; TP53TG3B
GE566612	ZCCHC12; ZCCHC18
GE56691	AP1S3; SDK2
GE567139	RNF113A; RNF113B
GE567161	TAS2R39; TAS2R40
GE56728	CCDC113; PRSS54
GE567363	DEFB104A; DEFB104B
GE567891	IFNA10; IFNA14; IFNA16; IFNA21; IFNA5
GE56843	CABP7; ZMAT5
GE568828	TCEB3B; TCEB3C; TCEB3CL
GE569157	KIR2DL1; KIR2DS2; KIR2DS3; KIR3DP1
GE569203	RAET1L; ULBP2
GE569462	UGT2B28; UGT2B7
GE56972	AIMP1; TBCK
GE56978	XAGE2; XAGE2B
GE57031	CENPP; IPPK
GE57047	GPR109A; GPR109B
GE571358	TRIM48; TRIM49L1
GE571837	SPRYD5; TRIM48; TRIM49; TRIM49L1; TRIM49L2
GE572319	IFNA1; IFNA10; IFNA13; IFNA14; IFNA16; IFNA17; IFNA2; IFNA21; IFNA4; IFNA5; IFNA6; IFNA7; IFNA8
GE57251	ATG7; VGLL4
GE572585	FAM47A; FAM47C
GE572650	RTP1; RTP2
GE57371	MYO18A; TIAF1
GE57462	CSH1; CSH2; CSHL1; GH1; GH2
GE57488	CSH1; CSH2; GH2
GE57499	UGT1A1; UGT1A10; UGT1A3; UGT1A4; UGT1A5; UGT1A6; UGT1A7; UGT1A8; UGT1A9
GE57501	CCL4; CCL4L1; CCL4L2
GE57503	FCGR3A; FCGR3B
GE575067	ZNF221; ZNF229
GE57508	CKMT1A; CKMT1B
GE57513	SNRPN; SNURF
GE576988	KRT4; KRT6A; KRT6B; KRT6C; KRT7; KRT76
GE57739	KCNJ12; KCNJ18
GE57745	CSNK1A1; CSNK1A1L
GE57778	KRT6A; KRT6B; KRT6C
GE577863	PRY; PRY2
GE57797	DGCR14; TSSK2
GE578117	OR5L2; OR5P2; OR5P3
GE57844	HIST2H4A; HIST2H4B
GE57861	SLC2A14; SLC2A3
GE57862	GLUD1; GLUD2
GE57890	SAA1; SAA2
GE57891	PF4; PF4V1
GE579012	CEACAM6; CEACAM8
GE57930	FCGR2A; FCGR2C
GE57961	HSD3B1; HSD3B2
GE57982	PRPS1; PRPS1L1
GE58008	TUBG1; TUBG2
GE58011	CYP2C19; CYP2C9
GE580447	ZNF431; ZNF85
GE580526	OPN1LW; OPN1MW; OPN1MW2
GE580626	ATG10; HOOK3; PAPL; TUBGCP5
GE58080	TMOD1; TSTD2
GE58176	BMP8A; BMP8B
GE58190	FOLH1; FOLH1B
GE58239	GSTT2; GSTT2B
GE58252	CTAG1A; CTAG1B
GE58271	DHPS; WDR83
GE58323	DAZ1; DAZ2; DAZ3; DAZ4
GE58386	HS3ST3A1; HS3ST3B1
