"IFITM3"
"HSPB1"
"ITGB5"
"NOTCH2"
"VWF"
"ANXA8"
"SLAMF7"
"TFPI"
"CD96"
"IL17B"
"IL27RA"
"NKTR"
"STAT2"
"AIM2"
"PLAU"
"IFIT1"
"PDGFRA"
"GAB1"
"AHSG"
"LRRC57"
"IL17D"
"FYN"
"EPHX1"
"APLN"
"SLAMF8"
"HLA-E"
"HLA-DQA1"
"MSRA"
"TNF"
"PRG3"
"SDC4"
"IL1B"
"ITPR1"
"FLT3LG"
"WASL"
"KLRF1"
"FCER2"
"ICAM1"
"FGB"
"C8B"
"TBX21"
"TIRAP"
"PLSCR4"
"CD59"
"IRF1"
"CLEC2B"
"IFIT2"
"GSTA2"
"GAB2"
"CCR8"
"HS3ST3B1"
"HSPA1B"
"PLAT"
"CIITA"
"CRB2"
"NFKB1"
"LITAF"
"CD74"
"LRCH1"
"PPIF"
"TNKS"
"GADD45A"
"DNAJA4"
"C7"
"XCL1"
"DAPP1"
"ABCC6"
"NFAT5"
"GIMAP8"
"CXCL1"
"TFPI2"
"SLAMF6"
"ULBP1"
"IKBKAP"
"OASL"
"MOSC1"
"SP2"
"XRCC5"
"CXCL2"
"CRNN"
"HSH2D"
"SRC"
"CCL18"
"HSPB8"
"SWAP70"
"NDST1"
"FOSL1"
"GRB2"
"FKBP3"
"LEMD1"
"CCL7"
"RGS1"
"LRRC8A"
"ANTXR2"
"BPIL1"
"NOTCH2NL"
"FUT7"
"HLA-DOB"
"LRCH4"
"LYZL6"
"TNFRSF8"
"TRAP1"
"VAV3"
"GSTM1"
"LMO1"
"IL2RA"
"IFNA17"
"VTCN1"
"CD9"
"IL6R"
"XRCC6"
"IRF7"
"F9"
"LYN"
"ALOX12"
"DNAJA3"
"MPV17"
"CCR7"
"RNPEP"
"GSG2"
"NFKBIA"
"NR4A1"
"TYROBP"
"MRVI1"
"CCL23"
"CD1E"
"MMD"
"XBP1"
"HLA-G"
"LRRC15"
"MICA"
"NFKBIB"
"GIMAP7"
"GADD45B"
"IL28RA"
"HSF1"
"C1S"
"GBP1"
"PPIL2"
"C1QTNF6"
"COLEC10"
"IL17C"
"CXCR6"
"PF4"
"TNFRSF1A"
"STAT5B"
"LGALS4"
"CD1B"
"SLA"
"CD244"
"IRF8"
"SOD2"
"MR1"
"NPTX2"
"LTBR"
"CSNK2A1"
"BTK"
"PPP2R2A"
"CD207"
"IFNA2"
"ABCB10"
"MAPKAPK2"
"CNIH3"
"CCRL2"
"NFATC3"
"SYK"
"PPP2R2B"
"HLA-DRA"
"IKBKE"
"LPO"
"MERTK"
"NFATC2"
"SAA2"
"TNFRSF1B"
"ABHD14B"
"CTHRC1"
"MALT1"
"GSTO1"
"PTK2B"
"NR4A3"
"TMPO"
"ULBP3"
"PRDX6"
"KNG1"
"PPIL1"
"S100A9"
"PROZ"
"PDGFRB"
"IFITM1"
"TPT1"
"FCRL3"
"CD97"
"ITPR2"
"LMO2"
"LTB4R"
"GZMH"
"TNFAIP8"
"SPI1"
"HSPA1A"
"SLURP1"
"ICAM3"
"IL11RA"
"ILF2"
"LRRC28"
"LRRC7"
"PTK2"
"CD86"
"TNFAIP8L1"
"CXCL3"
"AXL"
"OTUB2"
"PTPRC"
"ABCC11"
"C1RL"
"KIR3DL2"
"MAP3K10"
"HSPA1L"
"NFKB2"
"SLC11A1"
"CLEC4F"
"BLK"
"PPARG"
"CES2"
"LGALS3"
"NKG7"
"SERHL"
"PVRL3"
"GBP2"
"IL2RB"
"IL8"
"PPP3CA"
"CD7"
"LGALS3BP"
"EMR2"
"APOH"
"AGER"
"EIF2AK3"
"HLA-DQB2"
"MET"
"ADORA3"
"TFCP2"
"CD47"
"IL4R"
"GIMAP5"
"PPARA"
"SEPX1"
"CCNL2"
"IL12RB2"
"PLG"
"HLA-DMA"
"MPST"
"THBS4"
"C1QL2"
"IL1F6"
"IL1RN"
"GSTM5"
"CXCR3"
"PPIL3"
"SARM1"
"BPHL"
"SIGLEC1"
"CD1C"
"CSF3"
"F12"
"IL5"
"CD3G"
"ADORA2A"
"HLA-DPA1"
"PRKAB1"
"IL10RB"
"CCL17"
"VAV2"
"NCR1"
"CRB3"
"IL19"
"HFE"
"OSCAR"
"TAPBPL"
"FCRL1"
"PPIA"
"PTGS2"
"IL1F7"
"HGF"
"CD8A"
"SERP1"
"HSPA6"
"NPTXR"
"PPARD"
"GIMAP6"
"CMA1"
"MSRB3"
"C1QL4"
"FKBP5"
"SEMA4D"
"KLF6"
"TACR1"
"CD200"
"ITPR3"
"IL21R"
"AOC2"
"IFI30"
"CD82"
"AIRE"
"EDA"
"FCGR2A"
"SP3"
"F13A1"
"ANTXR1"
"IGBP1"
"CCL14"
"CISH"
"CD22"
"SEMA4A"
"IFITM2"
"CCR9"
"PRG2"
"SPACA3"
"CYSLTR2"
"CTSG"
"PGLYRP4"
"IL1A"
"ALOX5"
"NOXA1"
"ELK4"
"SEMA5B"
"ABCC8"
"PAFAH2"
"TACR3"
"IER3"
"FCGRT"
"MUC1"
"MAP3K9"
"TPSG1"
"NOX1"
"LRRC8E"
"TBXAS1"
"DUSP16"
"CNIH2"
"ICAM4"
"LTB4R2"
"OAS1"
"HSPB7"
"NUP88"
"PPIB"
"ABCC10"
"DDT"
"CLCF1"
"HRH1"
"GSTM3"
"SEPP1"
"CCL16"
"GPX1"
"PRKAG3"
"COQ10B"
"C1QTNF1"
"MCFD2"
"PLA2G4F"
"PARK7"
"HSFY1"
"AOC3"
"IRAK1"
"NFATC1"
"LRRC59"
"PRKAG2"
"SOD1"
"ADRB3"
"ULBP2"
"PROCR"
"IRF2"
"HLA-F"
"SAA4"
"FKBP4"
"LRCH3"
"CR2"
"REL"
"SLIT3"
"XRCC3"
"A1BG"
"BDKRB2"
"NOTCH3"
"TYRO3"
"LRMP"
"HLA-DMB"
"DPH2"
"CSNK2A2"
"ICAM2"
"TEC"
"MAP3K11"
"CD40LG"
"SP4"
"RAET1E"
"CD63"
"THBS3"
"MOCOS"
"LGALS2"
"PILRB"
"LRRK2"
"CD81"
"TFCP2L1"
"IL12B"
"IL20"
"FBXO42"
"IRAK2"
"CXCL16"
"SELENBP1"
"MAL"
"IL15"
"LGALS8"
"PPP3CB"
"ABCC3"
"SCARB1"
"MYD88"
"IFI35"
"TCIRG1"
"CCL25"
"PVRL4"
"GPX3"
"HSPA8"
"CPN2"
"TNFRSF9"
"SLAMF9"
"LAIR2"
"HS3ST1"
"GSTT2"
"LIF"
"FGFR1OP2"
"SEMA5A"
"CCL24"
"IRF5"
"LCN2"
"BPI"
"NOTCH1"
"PLUNC"
"CTSS"
"FCAR"
"GAB3"
"FUT6"
"PLAUR"
"F13B"
"PTGS1"
"CCL21"
"CEBPB"
"MICB"
"LRRC40"
"PLSCR1"
"DUOX2"
"IL6"
"HCK"
"GSTM4"
"IL24"
"TNFAIP8L2"
"COQ10A"
"SH3BP4"
"NMI"
"CD40"
"FUT3"
"THBS1"
"ABCC5"
"PPIH"
"CCL5"
"CCL22"
"PPIL4"
"IGLL1"
"HRH4"
"HS3ST3A1"
"HSPB3"
"NR4A2"
"C1QA"
"LRSAM1"
"OAS2"
"PROC"
"IL4"
"MAEA"
"SMAD7"
"PRDX2"
"PVRL2"
"NOX5"
"CD6"
"TSPAN4"
"CD48"
"IFNAR2"
"CD3E"
"C1QL1"
"IL1RL2"
"LRRC8D"
"SMG1"
"GYPC"
"HS3ST2"
"PTPN22"
"PPP2R2D"
"TNFAIP8L3"
"STAT3"
"B2M"
"PON2"
"WAS"
"DNAJA1"
"SNED1"
"CAMLG"
"GSTP1"
"CRB1"
"IFNGR1"
"CCL4"
"HYOU1"
"PTAFR"
"ASGR2"
"HLA-DRB5"
"THBS2"
"FGG"
"IFIT5"
"S100A8"
"GULP1"
"TBXA2R"
"SQSTM1"
"TST"
"KIT"
"LIFR"
"ATM"
"TLR1"
"TLR2"
"TLR3"
"TLR4"
"TLR5"
"TLR6"
"TLR7"
"TLR8"
"TLR9"
"TLR10"
"CD14"
"CD1D"
"PGLYRP1"
"PGLYRP2"
"LY96"
"CYBB"
"NOS2"
"CAMP"
"NAIP"
"NLRC5"
"NLRC3"
"NOD1"
"NOD2"
"DDX58"
"IFIH1"
"CLEC7A"
"COLEC12"
"COLEC11"
"IFI16"
"ATG16L1"
"IRGM"
"IL18"
"IL1R1"
"IL1R2"
"IFNG"
"IL10"
"IL12A"
"IL17A"
"IL17F"
"IL23A"
"TGFB1"
"TGFB2"
"TGFB3"
"CSF2"
"CASP1"
"SIGIRR"
"SCL7A10"
"TSLP"
"PTGES2"
"PTGES3"
"CD79A"
"TOLLIP"
"IL1F5"
"IL1F8"
"IL1F9"
"IL1F10"
"RELA"
"CARD8"
"CARD9"
"DEFA4"
"DEFA5"
"DEFA6"
"REG3G"
"CEACAM6"
"HSP90B1"
"DEFB1"
"DEFB103A"
"DEFB104A"
"DEFB105A"
"DEFB106A"
"DEFB104B"
"DEFB105B"
"DEFB106B"
"DEFB108B"
"DEFB114"
"DEFB115"
"DEFB116"
"DEFB118"
"DEFB119"
"DEFB123"
"DEFB124"
"DEFB125"
"DEFB127"
"DEFB129"
"FFAR3"
"FFAR2"
"MCTS1"
"SLC16A1"
"SLC5A8"
"SLC15A1"
"SLC22A5"
"CTNNB1"
"ARHGAP1"
"ARHGAP4"
"ARHGAP5"
"ARHGAP6"
"DLC1"
"ARHGAP9"
"ARHGAP10"
"ARHGAP12"
"ARHGAP15"
"ARHGAP17"
"ARHGAP18"
"ARHGAP19"
"ARHGAP20"
"ARHGAP21"
"ARHGAP22"
"ARHGAP23"
"ARHGAP24"
"ARHGAP25"
"ARHGAP26"
"ARHGAP27"
"ARHGAP28"
"ARHGAP29"
"ARHGAP30"
"ARHGAP31"
"ARHGAP32"
"ARHGAP33"
"ARHGAP39"
"ARHGAP40"
"ARHGAP44"
"ARHGAP11A"
"CD180"
"FOS"
"HRAS"
"HMGB1"
"JUN"
"LTA"
"LY86"
"RIPK2"
"TICAM1"
"EIF2AK2"
"IFNB1"
"IRF3"
"PRKRA"
"TBK1"
"CLEC4E"
"MAP3K7IP1"
"NR2C2"
"PELI1"
"TICAM2"
"TRAF6"
"MAP3K7 "
"CASP8"
"CHUK"
"ECSIT"
"FADD"
"IKBKB"
"MAP3K1"
"MAP4K4"
"NFKBIL1"
"NFRKB"
"REL "
"UBE2N"
"UBE2V1"
"ELK1"
"MAP2K3"
"MAP2K4"
"MAPK8"
"MAPK8IP3"
"IL2"
"CXCL10"
"IFNA1"
"IRG1"
"CD80"
"HSPD1"
"COL14A1"
"COL1A1"
"COL1A2"
"COL3A1"
"COL4A1"
"COL4A3"
"COL5A1"
"COL5A2"
"COL5A3"
"VTN"
" CTSG"
"CTSK"
"CTSL2"
"F3"
"FGA"
"MMP1"
"MMP2"
"MMP7"
"MMP9"
"SERPINE1"
"TIMP1"
"CDH1"
"ITGA2"
"ITGA3"
"ITGA4"
"ITGA5"
"ITGA6"
"ITGAV"
"ITGB1"
"ITGB3"
"ITGB6"
"ACTA2"
"ACTC1"
"RAC1"
"RHOA"
"CXCL11"
"CXCL5"
"ANGPT1"
"CTGF"
"EGF"
"FGF10"
"FGF2"
"FGF7"
"HBEGF"
"IGF1"
"MIF"
"PDGFA"
"TGFA"
"VEGFA"
"TGFBR3"
"WISP1"
"WNT5A"
"MAPK1"
"MAPK3"
"PTEN"
"EGFR"
"IL6ST"
"FGFR1"
"FGFR2"
"FGFR3"
"FGFR4"
"CDX2"
"PTCH1"
"PTCHD2"
"SMO"
"GLI1"
"GLI2"
"GLI3"
"SUFU"
"NCSTN"
"NOTCH4"
"PSENEN"
"PSEN1"
"PSEN2"
"RBPJL"
"ACVRL1"
"ACVR1"
"ACVR1B"
"ACVR1C"
"ACVR2A"
"ACVR2B"
"AMHR2"
"BMPR1A"
"BMPR1B"
"BMPR2"
"ENG"
"LTBP1"
"LTBP2"
"LTBP3"
"LTBP4"
"RGMA"
"TGFBR1"
"TGFBR2"
"TGFBRAP1"
"EP300"
"SMAD1"
"SMAD2"
"SMAD3"
"SMAD4"
"SMAD5"
"SMAD6"
"SMAD9"
"CREBBP"
"E2F5"
"RBL1"
"RBL2"
"SP1"
"ZEB2"
"FZD1"
"FZD2"
"FZD3"
"FZD4"
"FZD5"
"FZD6"
"FZD7"
"FZD8"
"FZD9"
"LRP5"
"LRP6"
"VANGL2"
"BCL9"
"BCL9L"
"LEF1"
"NFATC4"
"PYGO2"
"TCF7L1"
"TCF7L2"
"TCF7"
"CD28"
"CD34"
"CD3D"
"CD4 "
"ICOS"
"ISG20"
"CCL1"
"CCL20"
"CD247"
"CX3CL1"
"CXCL12"
"CXCL6"
"MMP13"
"MMP3"
"IL13"
"IL21"
"IL22"
"IL25"
"IL27"
"IL3"
"IL12RB1"
"IL17RB"
"IL17RC"
"IL17RD"
"IL17RE"
"IL23R"
"IL7R"
"CACYBP"
"EDG1"
"FOXP3"
"GATA3"
"JAK1"
"JAK2"
"RORC"
"SOCS1"
"SOCS3"
"STAT4"
"STAT5A"
"STAT6"
"YY1"
"CCL11"
"CCL13"
"CCL19"
"CCL3"
"CCL8"
"CXCL9"
"CSF1"
"FASLG"
"LTB"
"TNFSF14"
"IL1RAP"
"IL22RA2"
"IL8RA"
"IL8RB"
"CCR1"
"CCR2"
"CCR3"
"CCR4"
"CCR5"
"CCR6"
"CXCR4"
"IL18RAP"
"CRP"
"BCL6"
"C3"
"C3AR1"
"C4A"
"HDAC4"
"IL9"
"ITGB2"
"NR3C1"
"C5"
"CCL26"
"CXCL13"
"CXCL14"
"CX3CR1"
"XCR1"
"SCYE1"
"SPP1"
"IL10RA"
"IL13RA1"
"IL5RA"
"IL9R"
"ABCF1"
"ICEBERG"
