name	log.BF.FF.2.	p	q	log.BF.2.	log.FF.2.	T00346116_FF11_1.TXT	T00346118_FF5_1.TXT	T00346121_FF2_1.TXT	T00346125_FF3_1.TXT	T00346128_FF13_1.TXT	T00346130_FF12_1.TXT	T00346131_FF15_1.TXT	T00346132_FF14_1.TXT	T00346135_FF7_1.TXT	T00346114_BF5_1.TXT	T00346115_BF1_1.TXT	T00346119_BF4_1.TXT	T00346120_BF8_1.TXT	T00346127_BF3_1.TXT	T00346129_BF10_1.TXT	T00346133_BF7_1.TXT	T00346134_BF6_1.TXT	T00346113_BMS2_1.TXT	T00346117_BMS16_1.TXT	T00346122_BMS8_1.TXT	T00346126_BMS3_1.TXT	T00346136_BMS10_1.TXT
IFITM3	-0.0665171455208613	0.6863951678608	0.550764602500552	6.71077640551679	6.77729355103765	6.59407595748004	6.83671532580893	5.82700393526535	6.9452855566755	6.93784767147285	6.93797682850506	7.15416629152567	6.90103641817148	6.86153397443398	7.5767177946136	6.30580980222108	6.89702329327359	6.42728807815603	6.63469694663544	6.7235562811033	6.85506535973673	6.63981918345839	6.51676273034028	7.03923940840268	6.7293724433151	6.74311982284957	6.15162212761247
HSPB1	1.72630438805969	0.0520411876488106	0.206722444907012	8.08004736556082	6.35374297750113	5.51583389727651	5.65867606837526	5.32919811483887	5.55234556720876	5.68730177338906	6.631186430739	10.2088568908678	6.90526582593879	5.6950222288761	11.2094199493067	9.19770136109786	8.25574082884686	5.59803061159195	10.4079108431689	5.85916591387232	10.2011987807413	5.0331543088461	5.24368329174213	5.38088140557608	11.2771210249635	8.89094925553338	8.48565817700352
ITGB5	0.159896345139197	0.610405548168187	0.528875003878713	6.15702340751896	5.99712706237976	5.88758871904581	5.95780107392668	6.06374920199694	5.73900529568181	6.36257421649701	5.97731840728393	6.2245463985184	6.70510992163316	5.0564503268341	6.35694988727878	5.73266480375797	5.53196306382174	6.2363028749902	6.04142768863085	5.9742790201712	6.00190994183943	5.6593854091805	9.24210633601716	5.96126081473935	6.18548874176562	5.70059744204605	5.41696827350759
NOTCH2	1.17483061354504	0.0818048597643889	0.231883011387140	7.24313998550191	6.06830937195687	5.94489830267474	5.23254345353496	6.24509252793139	6.1181068438309	5.02127656262146	6.46715812606107	8.0568804826619	6.26492789146802	5.26390015682742	11.7400129654470	5.43546308938318	7.10913978212714	5.05035273765938	7.7728807927038	5.807934672599	9.38463538366183	5.15124526609248	5.58035595899214	7.61724011953941	9.6355109815283	7.41360790542635	6.46244015636478
VWF	-0.456317472240563	0.0279662692753032	0.202615805639396	5.5949495056015	6.05126697784206	5.6788333936666	5.51421270768493	5.77062423250279	5.67302482928282	6.29266691210901	6.20813218113554	6.34857516004179	6.71508350082115	6.26024988333392	6.03507171330935	5.30164030577541	6.12595750177861	5.90919347722977	5.0134519354056	6.10055182144864	5.97192562150741	5.86073553947722	5.37538242779554	5.2392726463043	6.0512116202421	4.7343828815765	5.01556608096903
ANXA8	-0.249460377959934	0.0586482143324225	0.210086709201253	5.8514622790293	6.10092265698923	5.62937743182174	5.97844330916541	6.17402864439043	6.02258313703731	6.36456475662523	5.87081805089846	6.25295387464158	6.39869142867301	6.21684327964989	6.26128756955868	5.60847829401046	5.40125186248624	6.28195757534872	5.93966069461906	6.10057979389877	5.81545477799852	6.01435321180097	5.94189996684935	5.36225651565045	6.27045183547707	5.55252917846046	5.51884835122206
SLAMF7	-0.0866096733631458	0.710359269804622	0.554204225196979	5.85200870806906	5.93861838143220	4.99093714208739	6.29372343162018	4.94938570636464	5.86581879909059	6.03233824431272	6.12761431106259	6.67034686376632	6.32460748425518	6.19279345033023	6.14665985656988	6.79567018314964	5.72427822552817	5.81936112175189	5.9810721906185	5.86305895920488	5.93447644242556	5.58955529370689	5.98838932368616	5.99741415817291	5.13710205755861	5.89438090062781	5.20469449189688
TFPI	-0.0272839238038616	0.868461708441142	0.600737148010285	7.88447918850553	7.91176311230939	7.73583081782412	8.13805714808395	7.55393037692088	7.93631035068029	7.39023071922893	8.0392381724909	8.1998304390635	8.18217926151044	8.0302607249815	7.80502141981306	7.57275197250653	7.84845832071877	7.8164334959963	7.92719361393701	8.16204551461932	9.07729925581847	7.50991004616678	8.24192278116912	7.13483773843434	8.14263844868923	7.4916740658579	7.76804277684503
CD96	0.166366921605786	0.309518038897667	0.374032800256062	6.007890216631	5.84152329502521	5.70421048528919	6.05957065533776	5.40762978896596	6.19816196612957	5.48100739410754	5.97227884946727	6.4097650200388	5.68612586221167	5.6549596336791	6.66941385580058	5.56792778053333	5.63817938067081	5.90771973138085	6.29603497060925	6.03657825276842	6.07202731826642	6.23038554938418	5.46438263159502	5.8926373927634	6.58503166293679	6.31555400765374	5.42670028184014
IL17B	-0.385068191922807	0.0297963814239676	0.202615805639396	8.2527390611244	8.63780725304721	8.27782436623774	8.44669627230678	8.52304538111154	8.5901710789546	9.13852724907026	8.75936979712086	8.64689086118251	8.73172365447314	8.62601661696749	7.85141897226411	7.88223512065076	8.58946362046561	7.89143159537343	7.97907320768543	9.47854344015142	8.83958136501794	8.31423850029344	8.20763796659414	8.22004980757183	8.01629872879286	7.49757865107545	8.51805681868085
