name	log.BF.FF.2.	p	q	log.BF.2.	log.FF.2.	T00346116_FF11_1.TXT	T00346118_FF5_1.TXT	T00346121_FF2_1.TXT	T00346125_FF3_1.TXT	T00346128_FF13_1.TXT	T00346130_FF12_1.TXT	T00346131_FF15_1.TXT	T00346132_FF14_1.TXT	T00346135_FF7_1.TXT	T00346114_BF5_1.TXT	T00346115_BF1_1.TXT	T00346119_BF4_1.TXT	T00346120_BF8_1.TXT	T00346127_BF3_1.TXT	T00346129_BF10_1.TXT	T00346133_BF7_1.TXT	T00346134_BF6_1.TXT	T00346113_BMS2_1.TXT	T00346117_BMS16_1.TXT	T00346122_BMS8_1.TXT	T00346126_BMS3_1.TXT	T00346136_BMS10_1.TXT
PLAU	0.053475862	0.157631421	0.621569919	6.85506707	6.801591208	6.943136656	5.464225192	5.520761227	4.574138814	5.657681218	9.068627573	9.795873811	8.605203706	5.58467267	6.830317998	5.462333017	8.979569669	4.717849411	5.976888398	5.296781888	6.976910777	5.217533899	5.226007594	9.985844812	7.839040928	8.315863449	8.290930062
IFIT1	0.909543783	0.058589307	0.207134017	6.189141846	5.279598064	5.38404728	5.167168474	4.510979641	4.947012332	5.144334937	5.422237726	7.162899504	4.729660245	5.048042435	7.84011416	5.214960869	5.888950073	4.394637841	5.850419308	5.197747248	5.966404762	5.124336838	4.965259853	7.551548341	8.57068609	6.24950307	7.64427555
PDGFRA	-0.150873329	0.143794569	0.271122906	6.622188775	6.773062104	6.60532547	7.008140098	6.42945141	6.696704358	6.50719835	6.965111433	7.005973718	6.728664939	7.010989158	6.725814031	6.604306164	6.560026199	6.615861551	6.885263377	6.786277304	6.711040144	6.69469127	6.950200145	6.345767312	6.576434093	6.496017208	6.136755282
GAB1	-0.639676181	0.002766695	0.000191926	7.475175625	8.114851806	7.96407802	8.176766735	7.950330364	8.132388363	8.073971234	8.235413263	8.092143461	8.141938104	8.266636706	7.988657521	7.401586058	7.375741612	7.451560754	7.387792871	7.496672201	7.241109843	7.663866291	7.606477564	7.535959469	7.730247905	7.50136542	6.796245616
AHSG	0.237800958	0.148417062	0.270142003	7.009385514	6.771584556	6.84796239	6.687755436	6.538514398	6.569054138	6.891467495	6.786747499	6.670305497	7.20400094	6.748453212	7.218532842	6.605618919	6.978188557	8.127559341	7.346209356	7.210992864	6.985274682	6.62883356	7.167332785	7.342536997	6.553891451	6.203033989	6.75400634
LRRC57	0.039133031	0.371628626	0.596165497	6.031832333	5.992699302	6.115311428	5.419506555	5.630850472	6.370116276	5.815844315	6.139511417	6.560962511	6.528160053	5.354030696	5.590830856	6.298131509	6.114059057	5.947666079	6.231164333	6.02035008	5.472395863	6.18689026	6.03911598	6.167068155	5.440852928	6.506094309	6.399200922
IL17D	0.129294969	0.6265076	0.521325788	7.395692956	7.266397986	7.120476599	7.660006572	7.352716239	7.759474426	7.050262757	6.964763895	7.135680486	7.166904904	7.187296001	7.32300639	6.990946701	7.209137441	9.009579052	7.18558071	8.342758104	7.222517432	6.845191118	7.809303204	7.494175924	6.73398638	5.975111555	8.002714413
FYN	-0.083538095	0.81682053	0.539770785	5.771587864	5.855125959	5.244364916	5.793990728	5.631538378	5.704986071	6.090982001	5.751698709	6.332353874	5.779449804	6.366769149	4.869348153	5.471099168	6.426333389	5.719512207	5.634840156	6.041287269	6.084272212	6.184712952	5.229545422	6.033342047	5.28993999	5.998080963	6.048328301
EPHX1	0.425686819	0.74022306	0.236062212	6.37400308	5.948316261	5.410588818	5.644593094	5.754036688	6.091028174	5.996778583	5.846364405	6.921675828	5.559337904	6.310442857	7.674777139	6.098559261	5.787033902	5.811452355	6.346531993	6.399481614	7.742397014	6.012562442	6.475603984	5.842538123	6.629000654	6.441666995	5.600434566
APLN	0.131149712	0.355438508	0.515497541	6.280122275	6.148972564	6.529499419	6.249782666	5.906161356	6.224115864	5.572556266	5.996359499	6.366508789	6.256968824	6.23880039	6.155992187	5.941088227	6.591046532	6.171342332	5.771290751	6.343341734	5.633258087	6.025678965	6.162005672	6.108702863	6.130061005	5.960228517	8.647552708
SLAMF8	0.031289176	0.997657608	0.612097992	6.834509633	6.803220457	6.656526357	7.494795894	5.012164536	6.902088256	6.662306329	6.815025271	7.74052859	7.023536412	6.92201247	7.040522326	6.6712997	7.060329515	6.202581472	6.903124854	6.849922232	8.327967347	5.81952188	6.39951684	6.406378969	8.02571146	6.613949411	6.527799223
HLA-E	0.722325815	0.157591928	0.270142003	6.298902162	5.576576347	5.126469855	5.01516175	5.919391986	5.528818031	5.426139253	5.543686946	7.081496012	5.549467491	4.998555797	8.470439282	5.058309931	7.154163999	4.898257135	6.285442644	4.88959993	7.384391858	4.367169296	4.873673076	6.608291411	8.61847928	6.263491006	7.014019254
HLA-DQA1	-0.190339108	0.198338166	0.304213411	6.65084226	6.841181368	6.325485597	6.884418383	6.489947723	7.275053995	6.840378072	6.775269381	7.189977287	7.067435161	6.722666709	6.714188928	6.454026674	6.075543514	6.408905258	6.881291377	6.906632361	6.839348071	6.184322213	6.758209855	6.296493906	7.177209257	6.840129975	6.924647987
MSRA	0.18212327	0.805940809	0.420261302	5.981198487	5.799075217	5.185539003	5.602626633	5.19084938	6.514495618	6.223098283	5.544313479	6.325062371	5.60219824	6.003493947	6.533820279	6.25126833	5.82903306	6.226647737	6.198418318	5.667337644	5.636514084	5.04747314	5.33235905	6.269110266	6.34464179	6.676945245	5.742011386
TNF	0.209852333	0.505710004	0.325844517	6.81965427	6.609801937	6.051542069	6.300876959	6.376341389	6.396803664	6.731983616	6.817914425	7.076537875	NA	7.126415502	7.298108535	6.669353788	6.692138119	NA	6.845348143	7.032866695	7.146552827	6.47855792	6.49875336	7.277226538	6.739754625	6.33753642	NA
PRG3	-0.090694966	0.78268339	0.544174197	6.406601211	6.497296177	6.269140334	6.462273671	5.475681768	6.45753011	7.680410608	6.618953754	6.617955281	6.562583257	6.331136808	6.704568383	5.990399955	6.487640384	6.3542102	6.269810744	6.591714547	6.522937015	6.75060052	6.41596087	6.435197874	6.261045501	6.198001007	6.303728737
SDC4	0.64580908	0.188811547	0.234717308	6.208065298	5.562256218	4.4244306	5.686365696	5.040464091	4.985573257	5.679556286	5.716034601	6.499230225	6.040125589	5.988525615	7.208928452	5.495549678	6.717368793	5.462097272	5.736185556	5.375684795	7.445057864	5.779419598	5.099668831	4.833779919	8.074994192	5.918866698	7.557247224
